2026-06-04 20:27:36 | INFO | video_creator | Creating video (attempt 1): What Really Happens If You Fall Into a Black Hole?
2026-06-04 20:27:36 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:27:36 | DEBUG | urllib3.connectionpool | http://localhost:8080 "POST /api/v1/videos HTTP/1.1" 400 295
2026-06-04 20:27:36 | WARNING | video_creator | Response status: 400 | Body: {"status":400,"data":[{"type":"enum","loc":["body","video_transition_mode"],"msg":"Input should be 'None', 'Shuffle', 'FadeIn', 'FadeOut', 'SlideIn' or 'SlideOut'","input":"random","ctx":{"expected":"'None', 'Shuffle', 'FadeIn', 'FadeOut', 'SlideIn' or 'SlideOut'"}}],"message":"field required"}
2026-06-04 20:27:36 | WARNING | video_creator | Create attempt 1 failed: 400 Client Error: Bad Request for url: http://localhost:8080/api/v1/videos
2026-06-04 20:28:26 | INFO | pipeline | ==================================================
2026-06-04 20:28:26 | INFO | pipeline | SPACE AUTOPILOT PIPELINE STARTED
2026-06-04 20:28:26 | INFO | pipeline | ==================================================
2026-06-04 20:28:26 | INFO | pipeline | Checking MoneyPrinterTurbo at http://localhost:8080...
2026-06-04 20:28:26 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:28:26 | DEBUG | urllib3.connectionpool | http://localhost:8080 "GET /api/health HTTP/1.1" 404 22
2026-06-04 20:28:26 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): localhost:8080
2026-06-04 20:28:26 | DEBUG | urllib3.connectionpool | http://localhost:8080 "GET /docs HTTP/1.1" 200 1016
2026-06-04 20:28:26 | INFO | video_creator | MoneyPrinterTurbo reachable at http://localhost:8080/docs
2026-06-04 20:28:26 | INFO | pipeline | MoneyPrinterTurbo: OK
2026-06-04 20:28:26 | INFO | pipeline | Title: NASA Discovered an Exoplanet That Shouldn't Exist
2026-06-04 20:28:26 | INFO | pipeline | Generating script, description and tags via Gemini...
2026-06-04 20:28:26 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:26 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:26 | WARNING | idea_generator | Script generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:28:31 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:31 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:31 | WARNING | idea_generator | Script generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:28:36 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:36 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:36 | WARNING | idea_generator | Script generation attempt 3 failed: All Groq keys failed: None
2026-06-04 20:28:36 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:36 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:36 | WARNING | idea_generator | Description generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:28:41 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:41 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:41 | WARNING | idea_generator | Description generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:28:46 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:46 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:46 | WARNING | idea_generator | Description generation attempt 3 failed: All Groq keys failed: None
2026-06-04 20:28:46 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:46 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:46 | WARNING | idea_generator | Tag generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:28:51 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:51 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:51 | WARNING | idea_generator | Tag generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:28:56 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:56 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:56 | WARNING | idea_generator | Tag generation attempt 3 failed: All Groq keys failed: None
2026-06-04 20:28:56 | INFO | pipeline | Script: 84 words | Tags: 10
2026-06-04 20:28:56 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:28:56 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:28:56 | WARNING | idea_generator | Video terms generation attempt 1 failed: All Groq keys failed: None
2026-06-04 20:29:01 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:29:01 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:29:01 | WARNING | idea_generator | Video terms generation attempt 2 failed: All Groq keys failed: None
2026-06-04 20:29:06 | INFO | idea_generator | Attempting LLM call via Gemini...
2026-06-04 20:29:06 | WARNING | idea_generator | Gemini API call failed: GEMINI_API_KEY is not set. Falling back to Groq...
2026-06-04 20:29:06 | WARNING | idea_generator | Video terms generation attempt 3 failed: All Groq keys failed: None
